BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
MANHATTAN,Passenger Distraction,Unspecified,3/26/2022,19:50,1,0,E-Bike,BOX VAN,65226c0c27407f3e1fedf946
QUEENS,Failure to Yield Right-of-Way,Unspecified,3/26/2022,13:19,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf947
BROOKLYN,Unspecified,Unspecified,3/25/2022,8:45,2,0,Sedan,Sedan,65226c0c27407f3e1fedf948
BROOKLYN,Passing or Lane Usage Improper,Unspecified,3/26/2022,10:10,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf949
,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,3/26/2022,11:45,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf94a
,Failure to Yield Right-of-Way,,3/25/2022,14:35,1,0,Sedan,,65226c0c27407f3e1fedf94b
STATEN ISLAND,Backing Unsafely,Unspecified,3/26/2022,14:30,0,0,Sedan,Sedan,65226c0c27407f3e1fedf94c
BROOKLYN,Backing Unsafely,Unspecified,3/26/2022,19:00,0,0,Sedan,,65226c0c27407f3e1fedf94d
,Driver Inattention/Distraction,Unspecified,3/26/2022,2:05,0,0,Taxi,Pick-up Truck,65226c0c27407f3e1fedf94e
BROOKLYN,Passing or Lane Usage Improper,Unspecified,3/26/2022,16:40,2,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf94f
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/24/2022,18:05,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf950
,Reaction to Uninvolved Vehicle,Unspecified,3/26/2022,3:35,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf951
MANHATTAN,Backing Unsafely,,3/20/2022,10:34,1,0,Sedan,,65226c0c27407f3e1fedf952
MANHATTAN,Passing or Lane Usage Improper,Unspecified,3/26/2022,14:54,0,0,Sedan,Taxi,65226c0c27407f3e1fedf953
BRONX,Following Too Closely,Unspecified,3/25/2022,6:35,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf954
,Driver Inattention/Distraction,Unspecified,3/25/2022,14:00,0,0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,65226c0c27407f3e1fedf955
,Driver Inattention/Distraction,Unspecified,3/21/2022,19:13,1,0,Sedan,Bike,65226c0c27407f3e1fedf956
BROOKLYN,Fell Asleep,Unspecified,3/26/2022,5:02,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf957
,Unspecified,Unspecified,3/25/2022,9:45,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf958
